Name,ID,2016,2012,2008,2004,2000
武汉市,4201,11912.61,8003.82,3960.08,0,0
黄石市,4202,1305.55,1040.95,556.57,0,0
十堰市,4203,1429.15,955.68,487.64,0,0
宜昌市,4205,3709.36,2509,1026.56,0,0
襄阳市,4206,3694.51,2501.96,1002.46,0,0
鄂州市,4207,797.82,560.39,269.79,0,0
荆门市,4208,1521,1085.26,520.36,0,0
孝感市,4209,1576.69,1105.16,593.06,0,0
荆州市,4210,1726.75,1195.98,623.98,0,0
黄冈市,4211,1726.17,1192.88,600.75,0,0
咸宁市,4212,1107.93,773.2,359.19,0,0
随州市,4213,852.18,590.07,310.2,0,0
恩施州,4228,735.7,482.19,249.18,0,0
仙桃市,429004,647.55,444.2,233.5,0,0
潜江市,429005,602.19,441.76,211.82,0,0
天门市,429006,471.27,321.22,187.35,0,0
神农架林区,429021,23.06,16.81,7.97,0,0
