Name,ID,2016,2012,2008,2004,2000
南 京 市,3201,10503.02,7201.57,3775,1910,0
无 锡 市,3202,9210.02,7568.15,4419.5,2350,0
徐 州 市,3203,5808.52,4016.58,2007.36,1095.8,0
常 州 市,3204,5773.86,3969.87,2202.23,1100.61,0
苏 州 市,3205,15475.09,12011.65,6701.29,3450,0
南 通 市,3206,6768.2,4558.67,2510.13,1226.06,0
连云港市,3207,2376.48,1603.42,750.1,416.36,0
淮 安 市,3208,3048,1920.91,915.83,500.97,0
盐 城 市,3209,4576.08,3120,1603.26,871.36,0
扬 州 市,3210,4449.38,2933.2,1573.29,788.13,0
镇 江 市,3211,3833.84,2630.42,1408.14,781.16,0
泰 州 市,3212,4101.78,2701.67,1394.2,705.2,0
宿 迁 市,3213,2351.12,1522.03,655.06,335.59,0
