Name,ID,2016,2012,2008,2004,2000
成都市,5101,9451.8318,6065.2679,3900.99,1870.89,1312.99
自贡市,5103,1143.0651,784.769,486.85,202.79,151.96
攀枝花市,5104,925.1839,648.0948,427.61,164.27,114.52
泸州市,5105,1353.4126,899.4409,508.42,216.4,165.49
德阳市,5106,1605.0639,1145.0459,695.04,355.38,260.08
绵阳市,5107,1700.3318,1200.7873,743.16,396.58,317.89
广元市,5108,605.43,405.9496,233.56,104.07,86.29
遂宁市,5109,915.8112,602.3266,372.67,159.19,118.02
内江市,5110,1198.5777,856.8463,488.28,200.32,144.81
乐山市,5111,1301.2326,918.0596,562.39,215.57,146.02
南充市,5113,1516.2016,1029.4802,601.95,250.32,176.78
眉山市,5114,1029.8632,677.0063,412.71,174.05,124.8
宜宾市,5115,1535.9661,1091.6036,645.86,291.02,200.65
广安市,5116,1005.6146,1672.2903,404.9,176.35,126.47
达州市,5117,1350.7623,1012.3926,603.99,255.14,187.84
雅安市,5118,502.5739,349.6402,213.22,100.35,73.94
巴中市,5119,501.3438,1179.742,213.95,108.24,84
资阳市,5120,1270.3819,836.348,467.63,194.45,142.86
阿坝州,5132,263.0196,167.1304,75.63,51.72,35.28
甘孜州,5133,213.0439,152.2749,94.01,35.23,24.68
凉山州,5134,1314.8366,1000.1275,561.07,202.35,144.55
