Name,ID,2016,2012,2008,2004,2000
北京市,11,118198,87475,64491,41099,24122
天津市,12,115053,93173,58656,30575,17353
河北省,13,43062,36584,22986,12487,7592
山西省,14,35532,33628,21506,10742,5722
内蒙古自治区,15,72064,63886,34869,12767,6502
辽宁省,21,50791,56649,31739,15835,11177
吉林省,22,53868,43415,23521,11537,7351
黑龙江省,23,40432,35711,21740,12449,8294
上海市,31,116562,85373,66932,46338,29671
江苏省,32,96887,68347,40014,20223,11765
浙江省,33,84916,63374,41405,24352,13416
安徽省,34,39561,28792,14448,7681,4779
福建省,35,74707,52763,29755,16469,11194
江西省,36,40400,28800,15900,8097,4851
山东省,37,68733,51768,32936,16413,9326
河南省,41,42575,31499,19181,9201,5450
湖北省,42,55665,38572,19858,9898,6293
湖南省,43,46382,33480,18147,9165,5425
广东省,44,74016,54095,37638,20870,12736
广西壮族自治区,45,38027,27952,14652,7461,4652
海南省,46,44347,32377,17691,9812,6798
重庆市,50,58502,38914,20490,9624,5616
四川省,51,40003,29608,15495,7895,4956
贵州省,52,33246,19710,9855,4317,2759
云南省,53,31093,22195,12570,7012,4769
西藏自治区,54,35184,22936,13588,8103,4572
陕西省,61,51015,38564,19700,8587,4968
甘肃省,62,27643,21978,12421,6566,4129
青海省,63,43531,33181,18421,8693,5138
宁夏回族自治区,64,47194,36394,19609,9199,5376
新疆维吾尔自治区,65,40564,33796,19797,11337,7372
