Name,ID,2016,2012,2008,2004,2000
武汉市,4201,142862.7451,97404.43709,0,0,0
黄石市,4202,48371.61912,39806.88337,0,0,0
十堰市,4203,41124.25184,27529.3101,0,0,0
宜昌市,4205,94072.17671,62886.93385,0,0,0
襄阳市,4206,62170.97181,42120.53872,0,0,0
鄂州市,4207,71752.85547,51237.99945,0,0,0
荆门市,4208,50760.9131,35898.91171,0,0,0
孝感市,4209,30134.93626,20973.16583,0,0,0
荆州市,4210,26715.40187,18031.84272,0,0,0
黄冈市,4211,23112.05431,15943.75685,0,0,0
咸宁市,4212,36494.28506,25955.88976,0,0,0
随州市,4213,33796.54967,22967.96544,0,0,0
恩施州,4228,18209.9453,11957.59454,0,0,0
仙桃市,429004,41416.69332,28589.81785,0,0,0
潜江市,429005,58847.84521,42810.34984,0,0,0
天门市,429006,28848.55534,19186.47712,0,0,0
神农架林区,429021,29226.86946,21144.65409,0,0,0
