Name,ID,2016,2012,2008,2004,2000
南 京 市,3201,127264,88525,60807,33050,0
无 锡 市,3202,141258,117357,95460,52825,0
徐 州 市,3203,66845,46877,21267,12005,0
常 州 市,3204,122721,85040,61504,31665,0
苏 州 市,3205,145556,114029,106863,57992,0
南 通 市,3206,92702,62506,32815,15806,0
连云港市,3207,52987,36470,15458,8891,0
淮 安 市,3208,62446,39992,17104,9597,0
盐 城 市,3209,63278,43172,19775,10928,0
扬 州 市,3210,99151,65691,34238,17359,0
镇 江 市,3211,120603,83651,52390,29235,0
泰 州 市,3212,88330,58378,27840,14014,0
宿 迁 市,3213,48311,31827,12289,6462,0
