Name,ID,2016,2012,2008,2004,2000
北京市,11,25669.13,17879.4,11115,6033.21,3161.66
天津市,12,17885.39,12893.88,6719.01,3110.97,1701.88
河北省,13,32070.45,26575.01,16011.97,8477.63,5043.96
山西省,14,13050.41,12112.83,7315.4,3571.37,1845.72
内蒙古自治区,15,18128.1,15880.58,8496.2,3041.07,1539.12
辽宁省,21,22246.9,24846.43,13668.58,6672,4669.06
吉林省,22,14776.8,11939.24,6426.1,3122.01,1951.51
黑龙江省,23,15386.09,13691.58,8314.37,4750.6,3151.4
上海市,31,28178.65,20181.72,14069.86,8072.83,4771.17
江苏省,32,77388.28,54058.22,30981.98,15003.6,8553.69
浙江省,33,47251.36,34665.33,21462.69,11648.7,6141.03
安徽省,34,24407.62,17212.05,8851.66,4759.3,2902.09
福建省,35,28810.58,19701.78,10823.01,5763.35,3764.54
江西省,36,18499,12948.88,6971.05,3456.7,2003.07
山东省,37,68024.49,50013.24,30933.28,15021.84,8337.47
河南省,41,40471.79,29599.31,18018.53,8553.79,5052.99
湖北省,42,32665.38,22250.45,11328.92,5633.24,3545.39
湖南省,43,31551.37,22154.23,11555,5641.94,3551.49
广东省,44,80854.91,57067.92,36796.71,18864.62,10741.25
广西壮族自治区,45,18317.64,13035.1,7021,3433.5,2080.04
海南省,46,4053.2,2855.54,1503.06,819.66,526.82
重庆市,50,17740.59,11409.6,5793.66,3034.58,1791
四川省,51,32934.54,23872.8,12601.23,6379.63,3928.2
贵州省,52,11776.73,6852.2,3561.56,1677.8,1029.92
云南省,53,14788.42,10309.47,5692.12,3081.91,2011.19
西藏自治区,54,1151.41,701.03,394.85,220.34,117.8
陕西省,61,19399.59,14453.68,7314.58,3175.58,1804
甘肃省,62,7200.37,5650.2,3166.82,1688.49,1052.88
青海省,63,2572.49,1893.54,1018.62,466.1,263.68
宁夏回族自治区,64,3168.59,2341.29,1203.92,537.11,295.02
新疆维吾尔自治区,65,9649.7,7505.31,4183.21,2209.09,1363.56
